,wall_time,step,loss,eval_score
0,1742118034.2843869,0,152.8093719482422,0.6251534223556519
1,1742118228.4618328,1,94.60950469970703,0.4919024705886841
2,1742118410.722001,2,100.37996673583984,0.5066816210746765
3,1742118591.3370318,3,86.26744079589844,0.4697157144546509
4,1742118773.3033605,4,87.71492004394531,0.47363999485969543
5,1742118955.4447193,5,84.8733139038086,0.4659048020839691
6,1742119135.0150704,6,92.07115936279297,0.4852587878704071
7,1742119315.1298897,7,81.4804916381836,0.45649755001068115
8,1742119499.1657133,8,88.05929565429688,0.47456881403923035
9,1742119681.9596999,9,84.34553527832031,0.46445396542549133
10,1742119871.335611,10,85.00267791748047,0.46625974774360657
11,1742120054.7401106,11,90.77880859375,0.48184114694595337
12,1742120244.786887,12,83.4637222290039,0.4620197117328644
13,1742120430.0688279,13,84.47114562988281,0.464799702167511
14,1742120617.0989683,14,85.4319839477539,0.46743568778038025
15,1742120807.0103912,15,80.04518127441406,0.4524590075016022
16,1742120990.4767244,16,81.56037902832031,0.4567212760448456
17,1742121174.588214,17,89.42210388183594,0.4782269597053528
18,1742121357.2384424,18,84.22525024414062,0.4641226828098297
19,1742121546.8819761,19,86.71906280517578,0.4709435999393463
